CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||E21,BS62,B3416,E6696,WT21,P3421//12/21/2010 12:00:20 AM
CAD_U|CABEU|GAB4|AIQ|20100809080132|BEU-30|||//12/21/2010 1:20:46 AM
CAD_U|CABEU|GAB4|AIQ|20100809080132|BEU-30|||//12/21/2010 1:20:46 AM
CAD_U|CABEU|GAB4|AIQ|20100809080132|BEU-30|||//12/21/2010 1:20:46 AM
CAD_U|CABEU|GAB5|AIQ|20100810072317|BEU-30|||//12/21/2010 1:20:47 AM
CAD_U|CABEU|GAB5|AIQ|20100810072317|BEU-30|||//12/21/2010 1:20:47 AM
CAD_U|CABEU|GAB5|AIQ|20100810072317|BEU-30|||//12/21/2010 1:20:47 AM
CAD_U|CABEU|GAB6|AIQ|20100803072441|BEU-30|||//12/21/2010 1:20:48 AM
CAD_U|CABEU|GAB6|AIQ|20100803072441|BEU-30|||//12/21/2010 1:20:48 AM
CAD_U|CABEU|GAB6|AIQ|20100803072441|BEU-30|||//12/21/2010 1:20:48 AM
CAD_U|CABEU|HLT406|AIQ|20100709074820|BEU-30|||//12/21/2010 1:20:49 AM
CAD_U|CABEU|HLT406|AIQ|20100709074820|BEU-30|||//12/21/2010 1:20:49 AM
CAD_U|CABEU|HLT406|AIQ|20100709074820|BEU-30|||//12/21/2010 1:20:49 AM
